*******************************************************************************
Ephemeris / WWW_USER Sat Jul  7 18:13:45 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jun-01 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460314.458333333, A.D. 2024-Jan-04 23:00:00.0000, -3.672669613630912E+05, -1.404242982671585E+05, -6.225818915885926E+04,  4.206116304421478E-01, -7.763061751243499E-01, -4.303677396516807E-01,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -3.657374418345025E+05, -1.432131466309685E+05, -6.380491289999204E+04,  4.291173908430403E-01, -7.730427620579456E-01, -4.289170312528517E-01,
2460314.541666667, A.D. 2024-Jan-05 01:00:00.0000, -3.641773457080106E+05, -1.459901250790090E+05, -6.534634717353425E+04,  4.375985186607145E-01, -7.697117866407898E-01, -4.274291476286379E-01,
2460314.583333333, A.D. 2024-Jan-05 02:00:00.0000, -3.625867628572352E+05, -1.487549904880110E+05, -6.688235816150172E+04,  4.460543488108449E-01, -7.663133057048133E-01, -4.259040962211296E-01,
2460314.625000000, A.D. 2024-Jan-05 03:00:00.0000, -3.609657855550987E+05, -1.515074999459652E+05, -6.841281207613539E+04,  4.544842134293521E-01, -7.628473797963242E-01, -4.243418863861629E-01,
2460314.666666667, A.D. 2024-Jan-05 04:00:00.0000, -3.593145084838585E+05, -1.542474107656208E+05, -6.993757516685795E+04,  4.628874418588740E-01, -7.593140732466127E-01, -4.227425294307177E-01,
2460314.708333333, A.D. 2024-Jan-05 05:00:00.0000, -3.576330287451844E+05, -1.569744804982400E+05, -7.145651372736637E+04,  4.712633606366359E-01, -7.557134542438337E-01, -4.211060386510456E-01,
2460314.750000000, A.D. 2024-Jan-05 06:00:00.0000, -3.559214458702785E+05, -1.596884669476144E+05, -7.296949410286295E+04,  4.796112934837624E-01, -7.520455949061575E-01, -4.194324293715280E-01,
2460314.791666667, A.D. 2024-Jan-05 07:00:00.0000, -3.541798618300297E+05, -1.623891281843464E+05, -7.447638269742775E+04,  4.879305612960766E-01, -7.483105713561714E-01, -4.177217189842563E-01,
2460314.833333333, A.D. 2024-Jan-05 08:00:00.0000, -3.524083810451994E+05, -1.650762225604010E+05, -7.597704598153448E+04,  4.962204821364312E-01, -7.445084637965291E-01, -4.159739269893307E-01,
